Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,collection_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR35320078,AMPLICON,600,21232475,PRJNA1321953,SAMN51231120,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13057385,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421898,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0191,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0191,324-0191_attempters 31,SRP618695
SRR35320079,AMPLICON,600,27582655,PRJNA1321953,SAMN51231119,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",16885180,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421897,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0189,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0189,324-0189_attempters 30,SRP618695
SRR35320080,AMPLICON,600,31526496,PRJNA1321953,SAMN51231106,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",20222807,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421896,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0131,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0131,324-0131_attempters 23,SRP618695
SRR35320081,AMPLICON,600,20725706,PRJNA1321953,SAMN51231118,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13053716,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421895,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0187,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0187,324-0187_non attempters 13,SRP618695
SRR35320082,AMPLICON,600,23856070,PRJNA1321953,SAMN51231117,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",14475856,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421894,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0178,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:57:00Z,1,324-0178,324-0178_non attempters 12,SRP618695
SRR35320084,AMPLICON,600,31436524,PRJNA1321953,SAMN51231109,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",19279261,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421892,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0145,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0145,324-0145_attempters 24,SRP618695
SRR35320085,AMPLICON,600,30019709,PRJNA1321953,SAMN51231110,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",18148482,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421891,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0146,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0146,324-0146_attempters 25,SRP618695
SRR35320086,AMPLICON,601,22421035,PRJNA1321953,SAMN51231111,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13772851,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421890,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0147,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0147,324-0147_non attempters 10,SRP618695
SRR35320087,AMPLICON,600,29898013,PRJNA1321953,SAMN51231112,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",18044259,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421889,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0152,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0152,324-0152_attempters 26,SRP618695
SRR35320088,AMPLICON,598,24587995,PRJNA1321953,SAMN51231113,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",14830443,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421888,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0158,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0158,324-0158_attempters 27,SRP618695
SRR35320089,AMPLICON,600,28691764,PRJNA1321953,SAMN51231114,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",17517390,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421887,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0165,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:57:00Z,1,324-0165,324-0165_attempters 28,SRP618695
SRR35320090,AMPLICON,601,27029497,PRJNA1321953,SAMN51231115,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",16443862,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421886,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0167,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0167,324-0167_non attempters 11,SRP618695
SRR35320091,AMPLICON,600,31827759,PRJNA1321953,SAMN51231116,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",19568764,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421885,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0168,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0168,324-0168_attempters 29,SRP618695
SRR35320092,AMPLICON,601,43719025,PRJNA1321953,SAMN51231081,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",27426176,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421884,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0047,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0047,324-0047_attempters 4,SRP618695
