Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,collection_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR35320116,AMPLICON,600,34440359,PRJNA1321953,SAMN51231103,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",22126635,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421860,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0118,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0118,324-0118_non attempters 7,SRP618695
SRR35320117,AMPLICON,600,33302037,PRJNA1321953,SAMN51231104,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",21567525,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421859,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0120,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0120,324-0120_attempters 21,SRP618695
SRR35320118,AMPLICON,601,20473521,PRJNA1321953,SAMN51231105,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13141754,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421858,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0125,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0125,324-0125_attempters 22,SRP618695
SRR35320119,AMPLICON,600,35778012,PRJNA1321953,SAMN51231080,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",23122775,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421857,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0043,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0043,324-0043_attempters 3,SRP618695
SRR35320120,AMPLICON,600,36178456,PRJNA1321953,SAMN51231107,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",23020058,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421856,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0134,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0134,324-0134_non attempters 8,SRP618695
SRR35320121,AMPLICON,601,22590595,PRJNA1321953,SAMN51231094,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",14451193,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421855,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0089,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0089,324-0089 _attempters 15,SRP618695
SRR35320122,AMPLICON,600,24556540,PRJNA1321953,SAMN51231093,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",15690380,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421854,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0088,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0088,324-0088_non attempters 3,SRP618695
SRR35320123,AMPLICON,600,23270949,PRJNA1321953,SAMN51231092,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",14836433,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421853,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0086,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0086,324-0086_attempters 14,SRP618695
SRR35320124,AMPLICON,600,21165917,PRJNA1321953,SAMN51231091,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",13615408,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421852,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0085,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0085,324-0085_attempters 13,SRP618695
SRR35320125,AMPLICON,600,51888856,PRJNA1321953,SAMN51231090,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",32984113,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421851,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0076,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0076,324-0076_attempters 12,SRP618695
SRR35320126,AMPLICON,601,46074334,PRJNA1321953,SAMN51231089,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",29267880,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421850,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0074,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0074,324-0074_attempters 11,SRP618695
SRR35320128,AMPLICON,599,46115105,PRJNA1321953,SAMN51231088,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",29241217,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421848,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0073,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0073,324-0073_attempters 10,SRP618695
SRR35320139,AMPLICON,600,42955872,PRJNA1321953,SAMN51231087,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",26953031,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421837,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0072,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0072,324-0072_attempters 9,SRP618695
SRR35320140,AMPLICON,600,46614828,PRJNA1321953,SAMN51231078,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",29604198,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421836,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0017,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0017,324-0017_attempters 1,SRP618695
SRR35320141,AMPLICON,600,28226814,PRJNA1321953,SAMN51231077,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",17870700,JOHNS HOPKINS,2020/2022,rectal swab,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human gut metagenome,rectum,rectalal mucosa & stool,SRX30421835,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina MiSeq,39.2905 N 76.6104 W,AMP_324-0001,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-09-10T00:00:00Z,2025-09-10T09:58:00Z,1,324-0001,324-0001_non attempters 1,SRP618695
