Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR35320073_1	(30, 1.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 2.0)	(160, 4.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 0.0)	(240, 2.0)	(250, 5.0)	(260, 0.0)	(270, 2.0)	(280, 3.0)	(290, 8256.0)	(300, 37462.0)																						
SRR35320073_2	(155, 1.0)	(160, 0.0)	(165, 4.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 1.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 1.0)	(215, 1.0)	(220, 81.0)	(225, 1.0)	(230, 0.0)	(235, 1.0)	(240, 1.0)	(245, 3.0)	(250, 3.0)	(255, 2.0)	(260, 1.0)	(265, 0.0)	(270, 1.0)	(275, 3.0)	(280, 2.0)	(285, 20.0)	(290, 2.0)	(295, 236.0)	(300, 45374.0)																				
SRR35320074_1	(175, 2.0)	(180, 0.0)	(185, 4.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 1.0)	(240, 0.0)	(245, 0.0)	(250, 1.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 8154.0)	(300, 42148.0)																								
SRR35320074_2	(175, 2.0)	(180, 0.0)	(185, 3.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 116.0)	(225, 3.0)	(230, 1.0)	(235, 2.0)	(240, 0.0)	(245, 0.0)	(250, 2.0)	(255, 2.0)	(260, 3.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 4.0)	(285, 27.0)	(290, 8.0)	(295, 341.0)	(300, 49796.0)																								
SRR35320075_1	(95, 1.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 1.0)	(160, 0.0)	(165, 1.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 3.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 1.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 1.0)	(295, 2202.0)	(300, 33374.0)								
SRR35320075_2	(95, 1.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 1.0)	(160, 0.0)	(165, 1.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 3.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 50.0)	(225, 1.0)	(230, 0.0)	(235, 2.0)	(240, 0.0)	(245, 1.0)	(250, 2.0)	(255, 2.0)	(260, 1.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 1.0)	(285, 12.0)	(290, 4.0)	(295, 299.0)	(300, 35203.0)								
SRR35320076_1	(70, 2.0)	(75, 0.0)	(80, 0.0)	(85, 1.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 3.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 3.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 1.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 1.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 5049.0)	(300, 38957.0)			
SRR35320076_2	(70, 2.0)	(75, 0.0)	(80, 0.0)	(85, 1.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 3.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 3.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 76.0)	(225, 2.0)	(230, 1.0)	(235, 5.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 3.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 1.0)	(285, 23.0)	(290, 6.0)	(295, 139.0)	(300, 43752.0)			
SRR35320077_1	(40, 2.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 4.0)	(170, 0.0)	(180, 6.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 9.0)	(230, 0.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 2.0)	(280, 2.0)	(290, 5417.0)	(300, 39836.0)																							
SRR35320077_2	(165, 4.0)	(170, 0.0)	(175, 0.0)	(180, 1.0)	(185, 5.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 1.0)	(220, 66.0)	(225, 9.0)	(230, 2.0)	(235, 0.0)	(240, 0.0)	(245, 2.0)	(250, 0.0)	(255, 1.0)	(260, 2.0)	(265, 1.0)	(270, 0.0)	(275, 0.0)	(280, 5.0)	(285, 22.0)	(290, 3.0)	(295, 144.0)	(300, 45010.0)																						
SRR35320078_1	(30, 1.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 3.0)	(170, 0.0)	(180, 2.0)	(190, 1.0)	(200, 1.0)	(210, 0.0)	(220, 9.0)	(230, 3.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 0.0)	(290, 3220.0)	(300, 32105.0)																						
SRR35320078_2	(30, 1.0)	(40, 0.0)	(50, 1.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 2.0)	(170, 0.0)	(180, 2.0)	(190, 1.0)	(200, 2.0)	(210, 1.0)	(220, 59.0)	(230, 3.0)	(240, 1.0)	(250, 0.0)	(260, 1.0)	(270, 1.0)	(280, 10.0)	(290, 185.0)	(300, 35075.0)																						
SRR35320079_1	(30, 1.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 3.0)	(150, 0.0)	(160, 0.0)	(170, 2.0)	(180, 1.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 4.0)	(230, 0.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 3.0)	(280, 0.0)	(290, 2241.0)	(300, 43645.0)																						
SRR35320079_2	(30, 1.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 3.0)	(150, 0.0)	(160, 0.0)	(170, 1.0)	(180, 1.0)	(190, 0.0)	(200, 0.0)	(210, 3.0)	(220, 103.0)	(230, 4.0)	(240, 0.0)	(250, 0.0)	(260, 1.0)	(270, 4.0)	(280, 21.0)	(290, 268.0)	(300, 45490.0)																						
SRR35320080_1	(30, 4.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 2.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 1.0)	(160, 0.0)	(170, 0.0)	(180, 14.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 7.0)	(230, 2.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 2.0)	(280, 1.0)	(290, 4490.0)	(300, 47948.0)																						
SRR35320080_2	(30, 3.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 2.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 13.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 5.0)	(230, 1.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 1.0)	(280, 0.0)	(290, 288.0)	(300, 52158.0)																						
