Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR35320074_1	(1.0, 4.251639833035182)	(2.0, 2.1188630490956073)	(3.0, 1.2045319022063208)	(4.0, 0.7155635062611807)	(5.0, 0.48698071953885913)	(6.0, 0.4293381037567084)	(7.0, 0.30610216656728284)	(8.0, 0.3657324587557146)	(9.0, 0.26833631484794274)	('>10', 5.4919499105545615)	('>50', 5.0447227191413235)	('>100', 25.637050288213082)	('>500', 22.434903597694294)	('>1k', 31.244285430331942)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320074_2	(1.0, 5.058636453985291)	(2.0, 2.0632081097197377)	(3.0, 1.0673822301729279)	(4.0, 0.8745776187636654)	(5.0, 0.5068574836016696)	(6.0, 0.5485986881335719)	(7.0, 0.3895845756310873)	(8.0, 0.4611409262572053)	(9.0, 0.26833631484794274)	('>10', 10.11329755515802)	('>50', 3.2021466905187834)	('>100', 27.83343271715365)	('>500', 47.61280063605645)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320075_1	(1.0, 4.681879496402877)	(2.0, 2.147032374100719)	(3.0, 1.264613309352518)	(4.0, 0.8093525179856115)	(5.0, 0.688511690647482)	(6.0, 0.539568345323741)	(7.0, 0.4917940647482014)	(8.0, 0.427158273381295)	(9.0, 0.37938399280575535)	('>10', 6.612522482014388)	('>50', 5.308565647482014)	('>100', 18.072729316546763)	('>500', 22.67873201438849)	('>1k', 35.89815647482014)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320075_2	(1.0, 5.050022482014389)	(2.0, 2.0908273381294964)	(3.0, 1.542828237410072)	(4.0, 0.9554856115107914)	(5.0, 0.8290242805755397)	(6.0, 0.7250449640287769)	(7.0, 0.5704811151079137)	(8.0, 0.427158273381295)	(9.0, 0.40467625899280574)	('>10', 11.859262589928058)	('>50', 5.078125)	('>100', 18.665692446043167)	('>500', 21.832846223021583)	('>1k', 29.968525179856115)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320076_1	(1.0, 4.670922598087103)	(2.0, 2.4263352795510826)	(3.0, 1.015516732171661)	(4.0, 0.7906036304155213)	(5.0, 0.5452438830451871)	(6.0, 0.504350591816798)	(7.0, 0.6043119703750823)	(8.0, 0.4361951064361496)	(9.0, 0.40893291228389034)	('>10', 8.255901129109208)	('>50', 5.086671058909058)	('>100', 21.146375264102506)	('>500', 16.15057818570098)	('>1k', 37.95806165799577)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320076_2	(1.0, 6.345275688938365)	(2.0, 2.4263352795510826)	(3.0, 1.7107026830542746)	(4.0, 0.999613785582843)	(5.0, 0.8746620623849877)	(6.0, 0.8178658245677807)	(7.0, 0.6679237567303542)	(8.0, 0.6906422518572369)	(9.0, 0.7360792421110026)	('>10', 12.763250562282755)	('>50', 6.03403230570007)	('>100', 35.01601653906445)	('>500', 13.69470886248495)	('>1k', 17.222891155689847)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320077_1	(1.0, 5.055435310746941)	(2.0, 2.420601616679182)	(3.0, 1.3052696673881357)	(4.0, 0.9982773090684217)	(5.0, 0.5300587481779231)	(6.0, 0.45054993595123455)	(7.0, 0.4019612173682583)	(8.0, 0.42404699854233846)	(9.0, 0.3577896550200981)	('>10', 8.178364768761872)	('>50', 6.3584964000176685)	('>100', 34.25725517911569)	('>500', 23.7598833870754)	('>1k', 15.502009806086841)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320077_2	(1.0, 5.788683245726401)	(2.0, 2.5442819912540307)	(3.0, 1.5106674323070806)	(4.0, 1.0866204337647423)	(5.0, 0.9165599187243252)	(6.0, 0.5963160917001634)	(7.0, 0.695702106983524)	(8.0, 0.6360704978135077)	(9.0, 0.6360704978135077)	('>10', 9.702283669773399)	('>50', 6.705243164450726)	('>100', 67.9159856884138)	('>500', 1.2655152612747913)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320078_1	(1.0, 5.41519309661904)	(2.0, 2.3482812278964493)	(3.0, 1.154335832508134)	(4.0, 0.9393124911585797)	(5.0, 0.5941434432027162)	(6.0, 0.4922902815108219)	(7.0, 0.43570519168199173)	(8.0, 0.6337530060828971)	(9.0, 0.509265808459471)	('>10', 9.579855708020936)	('>50', 7.327769132833499)	('>100', 40.42721742820767)	('>500', 15.77026453529495)	('>1k', 14.372612816522846)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320078_2	(1.0, 6.2102136087141036)	(2.0, 3.0782288866883576)	(3.0, 1.5108218984297639)	(4.0, 1.3693591738576885)	(5.0, 0.834630074975244)	(6.0, 0.6280944971000142)	(7.0, 0.6931673504031687)	(8.0, 0.7242891498090254)	(9.0, 0.6620455509973122)	('>10', 14.839439807610693)	('>50', 6.65440656387042)	('>100', 55.091243457348995)	('>500', 7.704059980195218)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
