Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR35320100_1	(1.0, 5.55169554205796)	(2.0, 2.4833583611627854)	(3.0, 1.5801152027254188)	(4.0, 0.9861711903534527)	(5.0, 0.7396283927650895)	(6.0, 0.5580832418136584)	(7.0, 0.43929443933926526)	(8.0, 0.3944684761413811)	(9.0, 0.38326198534191)	('>10', 7.389560033171212)	('>50', 5.763498218167963)	('>100', 27.167895645157675)	('>500', 13.019701010825472)	('>1k', 33.54326826097675)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320100_2	(1.0, 5.521438016899388)	(2.0, 2.109061568460452)	(3.0, 1.3313311069771612)	(4.0, 0.7216980074859358)	(5.0, 0.5491180491740817)	(6.0, 0.5177398749355627)	(7.0, 0.41576080866037607)	(8.0, 0.573772328932918)	(9.0, 0.5244637694152453)	('>10', 10.894950355245758)	('>50', 10.740300782213058)	('>100', 38.04267431696439)	('>500', 28.057691014635676)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320110_1	(1.0, 7.8969362657305915)	(2.0, 2.344962628650572)	(3.0, 1.167705423024572)	(4.0, 1.060247868758507)	(5.0, 0.5611672278338945)	(6.0, 0.5587792821835376)	(7.0, 0.5516154452324665)	(8.0, 0.4584855648685436)	(9.0, 0.4513217279174726)	('>10', 8.849726580223034)	('>50', 7.0038445924970745)	('>100', 29.8923036511689)	('>500', 21.520166201017265)	('>1k', 17.68273754089357)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320110_2	(1.0, 12.16180719726819)	(2.0, 2.134823411419156)	(3.0, 1.096067053513862)	(4.0, 0.8978675645342313)	(5.0, 0.9193590753874442)	(6.0, 0.8883157819328031)	(7.0, 0.6853404016524585)	(8.0, 0.8596604341285192)	(9.0, 0.5372877713303246)	('>10', 11.349905676146811)	('>50', 16.18788356377009)	('>100', 52.28168206891611)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320111_1	(1.0, 5.598185970850655)	(2.0, 2.0802182093034722)	(3.0, 1.16334478055834)	(4.0, 0.7558454788938366)	(5.0, 0.5504526857161636)	(6.0, 0.58167239027917)	(7.0, 0.36806388537439)	(8.0, 0.4337895791912454)	(9.0, 0.2218242166318868)	('>10', 4.82097964146634)	('>50', 7.497658522157774)	('>100', 29.24464746380979)	('>500', 18.183013194433034)	('>1k', 28.500303981333904)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320111_2	(1.0, 6.324454887526906)	(2.0, 2.1163673409027424)	(3.0, 1.1978507698121887)	(4.0, 0.8872968665275472)	(5.0, 0.8544340196191196)	(6.0, 0.5619546821341133)	(7.0, 0.552095828061585)	(8.0, 0.3417736078476479)	(9.0, 0.3401304655022265)	('>10', 7.880510688640957)	('>50', 7.82464384889663)	('>100', 37.36834321957311)	('>500', 33.75014377495523)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320112_1	(1.0, 5.799074326163899)	(2.0, 2.261334699956759)	(3.0, 1.4365561089668646)	(4.0, 0.8648163866690156)	(5.0, 0.696657644816707)	(6.0, 0.5092807610384202)	(7.0, 0.4820550599766179)	(8.0, 0.37155074390224374)	(9.0, 0.30268573533415544)	('>10', 6.329174740955462)	('>50', 5.539629410163194)	('>100', 32.90946653641037)	('>500', 22.922438782210406)	('>1k', 19.575279063435882)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320112_2	(1.0, 6.080940407744912)	(2.0, 2.1332137537835716)	(3.0, 1.3356608638554797)	(4.0, 0.7751317243477842)	(5.0, 0.66462740827341)	(6.0, 0.7591166060761358)	(7.0, 0.5605291395076953)	(8.0, 0.4484233116061562)	(9.0, 0.5621306513348601)	('>10', 9.706763184446118)	('>50', 5.360260085520731)	('>100', 47.204561105683766)	('>500', 24.40864175781938)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320113_1	(1.0, 5.796288928274315)	(2.0, 2.5319202806814483)	(3.0, 1.2641516258545231)	(4.0, 0.8174485477628677)	(5.0, 0.5877672080153362)	(6.0, 0.6076608673635476)	(7.0, 0.3038304336817738)	(8.0, 0.4340434766882483)	(9.0, 0.47202228089847)	('>10', 7.18522805367671)	('>50', 6.570333128368358)	('>100', 27.737186674865267)	('>500', 22.92111259811191)	('>1k', 22.771005895757224)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320113_2	(1.0, 5.57745867544399)	(2.0, 2.253409049806489)	(3.0, 1.2207472781856983)	(4.0, 0.7017036206460014)	(5.0, 0.6510652150323725)	(6.0, 0.6185119542807538)	(7.0, 0.4557456505226607)	(8.0, 0.37617101312981516)	(9.0, 0.520852172025898)	('>10', 7.883314645350309)	('>50', 7.3696965312692155)	('>100', 48.960104170434406)	('>500', 23.411220023872392)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320114_1	(1.0, 5.364459023088999)	(2.0, 2.1978583006802896)	(3.0, 1.095100128910388)	(4.0, 0.7811203716703468)	(5.0, 0.5871166192293455)	(6.0, 0.5513790858849507)	(7.0, 0.39311286678834445)	(8.0, 0.32674316200589665)	(9.0, 0.3790731215459036)	('>10', 6.93308146881262)	('>50', 6.1570664590486155)	('>100', 15.681119095329871)	('>500', 25.318766034027234)	('>1k', 34.234004262977194)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320114_2	(1.0, 5.323616127838262)	(2.0, 2.016617953005144)	(3.0, 1.125732300348441)	(4.0, 0.6994345811688726)	(5.0, 0.6892238573561883)	(6.0, 0.4977727858683582)	(7.0, 0.4645879334771344)	(8.0, 0.4390611239454237)	(9.0, 0.21825422149612633)	('>10', 8.735274221751395)	('>50', 5.996247558998839)	('>100', 28.64363297553255)	('>500', 43.87037486119797)	('>1k', 1.2801694980152907)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320115_1	(1.0, 5.1498819965479585)	(2.0, 2.2156469054915635)	(3.0, 1.1095846982986368)	(4.0, 0.7115432033534115)	(5.0, 0.44911761597801964)	(6.0, 0.2747543062453767)	(7.0, 0.33287540948959105)	(8.0, 0.35224911057099584)	(9.0, 0.253619359611117)	('>10', 5.551445982598894)	('>50', 5.8297227799499804)	('>100', 21.765472542181833)	('>500', 26.175631406530698)	('>1k', 29.82845468315192)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320115_2	(1.0, 5.1375532776779735)	(2.0, 1.9655500369861567)	(3.0, 1.0725985416886823)	(4.0, 0.7044982211419917)	(5.0, 0.4843425270351192)	(6.0, 0.3698615660995456)	(7.0, 0.27123181513966677)	(8.0, 0.2677093240339568)	(9.0, 0.15851209975694813)	('>10', 7.726584240374793)	('>50', 7.784705343619007)	('>100', 18.20599527986192)	('>500', 22.957835781464652)	('>1k', 32.893021945119585)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320116_1	(1.0, 6.0349640589015285)	(2.0, 2.282085281596762)	(3.0, 1.2614278735431643)	(4.0, 0.7397585316491032)	(5.0, 0.4972433526414963)	(6.0, 0.4396678065461651)	(7.0, 0.31753786028334147)	(8.0, 0.2651964547421313)	(9.0, 0.21983390327308255)	('>10', 5.16609672691744)	('>50', 6.956172796426826)	('>100', 25.985763137692793)	('>500', 29.360039081582805)	('>1k', 20.474213134203364)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320116_2	(1.0, 5.110265894340149)	(2.0, 1.9331425779886942)	(3.0, 1.0311256891618397)	(4.0, 0.7816316560820713)	(5.0, 0.6542675692651266)	(6.0, 0.6176285853862795)	(7.0, 0.5495847581827064)	(8.0, 0.43268895247400374)	(9.0, 0.32975085490962386)	('>10', 6.446716449159048)	('>50', 7.1219205806406585)	('>100', 38.75183194919394)	('>500', 36.239444483215856)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320117_1	(1.0, 5.638934988094379)	(2.0, 2.3558698318782016)	(3.0, 1.1093874016884335)	(4.0, 0.8875099213507468)	(5.0, 0.4690093080308825)	(6.0, 0.42210837722779415)	(7.0, 0.4166967313658994)	(8.0, 0.27419005700266974)	(9.0, 0.16234937585684395)	('>10', 6.780792264954181)	('>50', 4.726170719388123)	('>100', 39.16047333862472)	('>500', 12.444981600404068)	('>1k', 25.151526084133053)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320117_2	(1.0, 5.474781730283571)	(2.0, 2.0492098997041635)	(3.0, 1.1689155061692764)	(4.0, 0.7287683094018328)	(5.0, 0.5682228154989538)	(6.0, 0.4654015441229526)	(7.0, 0.46720542607691756)	(8.0, 0.5050869471101811)	(9.0, 0.3084638141280035)	('>10', 8.860668157875748)	('>50', 5.774226134641749)	('>100', 25.833393462731795)	('>500', 26.379969694783174)	('>1k', 21.41568655747168)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320118_1	(1.0, 5.574800375763269)	(2.0, 2.266322217003288)	(3.0, 1.3650775011742602)	(4.0, 0.8102395490840771)	(5.0, 0.6605213715359324)	(6.0, 0.4931892907468295)	(7.0, 0.39044152184124004)	(8.0, 0.5166744950681071)	(9.0, 0.4227336777829967)	('>10', 6.25587130108032)	('>50', 2.8299671207139503)	('>100', 23.52043212775951)	('>500', 29.133395960544856)	('>1k', 25.76033348990136)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320118_2	(1.0, 5.2049084077031464)	(2.0, 1.9610145608266794)	(3.0, 1.277007984969469)	(4.0, 0.7515265382808831)	(5.0, 0.7045561296383279)	(6.0, 0.6869422263973696)	(7.0, 0.5959370596524189)	(8.0, 0.4227336777829967)	(9.0, 0.264208548614373)	('>10', 9.159229685298262)	('>50', 5.351690934711132)	('>100', 34.843236261155475)	('>500', 38.77700798496947)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320119_1	(1.0, 5.822067160924553)	(2.0, 2.663625079673924)	(3.0, 1.479418967425945)	(4.0, 0.9326042470394847)	(5.0, 0.9560870877922776)	(6.0, 0.6441007749337448)	(7.0, 0.3639840316682881)	(8.0, 0.48307558120030863)	(9.0, 0.4075950216377604)	('>10', 8.596397061290215)	('>50', 5.1544835452380156)	('>100', 23.643865946526216)	('>500', 12.402294609010701)	('>1k', 36.450400885638565)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320119_2	(1.0, 6.227984836794257)	(2.0, 2.3147371599181454)	(3.0, 1.439162668992586)	(4.0, 0.9929886946895233)	(5.0, 0.6960984937435003)	(6.0, 0.7548055956254822)	(7.0, 0.6105538595726123)	(8.0, 0.4696568150558556)	(9.0, 0.3472105739877218)	('>10', 12.170820893018886)	('>50', 11.697809386426918)	('>100', 36.088094199738336)	('>500', 26.190076822436176)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320120_1	(1.0, 5.351747949935262)	(2.0, 2.4733574582517184)	(3.0, 1.1652999568407425)	(4.0, 0.829985724245543)	(5.0, 0.5809900069718801)	(6.0, 0.38843331894691413)	(7.0, 0.31373460376481527)	(8.0, 0.27887520334650245)	(9.0, 0.43325254805617347)	('>10', 7.708907406792603)	('>50', 8.616911789117228)	('>100', 39.01928886823146)	('>500', 9.652733972975664)	('>1k', 23.186481192523487)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320120_2	(1.0, 6.045616015404534)	(2.0, 2.157962883038412)	(3.0, 1.120480727731483)	(4.0, 0.7967862952757212)	(5.0, 0.8216858670030875)	(6.0, 0.6473888649115235)	(7.0, 0.4996514059958169)	(8.0, 0.46479200557750405)	(9.0, 0.6424089505660503)	('>10', 9.959828690946516)	('>50', 9.038544537033962)	('>100', 60.96245144583513)	('>500', 6.8424023106802565)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320121_1	(1.0, 7.246261110224067)	(2.0, 2.3311512054925756)	(3.0, 1.2613763372185853)	(4.0, 0.8941401884081112)	(5.0, 0.6120602480174571)	(6.0, 0.5109372505189207)	(7.0, 0.42844217361221987)	(8.0, 0.4044919899941455)	(9.0, 0.4311033051253393)	('>10', 8.789717387833306)	('>50', 7.690670072915004)	('>100', 28.655064133269466)	('>500', 19.921230507211664)	('>1k', 20.823354090159135)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320121_2	(1.0, 10.671137367608708)	(2.0, 2.214061418915323)	(3.0, 0.8861567938687529)	(4.0, 0.6280270370961732)	(5.0, 0.5854489328862632)	(6.0, 0.6386715631486508)	(7.0, 0.5402096971632339)	(8.0, 0.3406248336792804)	(9.0, 0.5987545904518601)	('>10', 15.772526478258555)	('>50', 15.256266964713397)	('>100', 41.045292458353295)	('>500', 10.822821863856511)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320122_1	(1.0, 7.4995718025887586)	(2.0, 2.1532212679537057)	(3.0, 1.152462746825222)	(4.0, 0.7634148131835865)	(5.0, 0.7829895519831657)	(6.0, 0.44043162299053074)	(7.0, 0.479581100589689)	(8.0, 0.5872421639873743)	(9.0, 0.35234529839242457)	('>10', 9.907264674936995)	('>50', 8.145538182974871)	('>100', 40.0278940027894)	('>500', 18.65717291834887)	('>1k', 9.050869852455406)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320122_2	(1.0, 11.05483373706232)	(2.0, 2.197264430252759)	(3.0, 1.181824855024591)	(4.0, 1.1157601115760112)	(5.0, 0.8196921872323767)	(6.0, 0.7340527049842178)	(7.0, 0.7878832366830605)	(8.0, 0.4306442535907411)	(9.0, 0.6606474344857961)	('>10', 17.46556069392449)	('>50', 18.75994029704666)	('>100', 44.79189605813698)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320123_1	(1.0, 7.227515686730188)	(2.0, 2.2155085599194364)	(3.0, 1.2162057479278023)	(4.0, 0.7126810752188396)	(5.0, 0.41314844940222584)	(6.0, 0.3408474707568363)	(7.0, 0.3976553825496424)	(8.0, 0.41314844940222584)	(9.0, 0.3021148036253776)	('>10', 11.105946755493584)	('>50', 7.144885996849743)	('>100', 40.077981769824675)	('>500', 11.038810132465722)	('>1k', 17.393549719833707)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320123_2	(1.0, 11.449376404059183)	(2.0, 2.096728380716296)	(3.0, 1.1232473468123017)	(4.0, 0.7539959201590621)	(5.0, 0.8262968988044517)	(6.0, 0.9140909443024247)	(7.0, 0.7953107650992848)	(8.0, 0.6816949415136726)	(9.0, 0.906344410876133)	('>10', 17.780876391148297)	('>50', 15.756448989077388)	('>100', 46.91558860743151)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320124_1	(1.0, 7.7337874272740175)	(2.0, 2.338583794522492)	(3.0, 1.2175393784589186)	(4.0, 0.8060167447140627)	(5.0, 0.5818078615013481)	(6.0, 0.6981694338016177)	(7.0, 0.39733219809848164)	(8.0, 0.476798637718178)	(9.0, 0.38314176245210724)	('>10', 7.884206045125586)	('>50', 7.415921668795232)	('>100', 43.417056903646944)	('>500', 18.870441322548604)	('>1k', 7.779196821342415)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320124_2	(1.0, 12.802611040158931)	(2.0, 2.168298566766)	(3.0, 1.2005108556832695)	(4.0, 0.7151979565772669)	(5.0, 0.6669504753795941)	(6.0, 0.5108556832694764)	(7.0, 0.5363984674329502)	(8.0, 0.6130268199233717)	(9.0, 0.5619412515964239)	('>10', 13.841350929473533)	('>50', 30.75351213282248)	('>100', 35.629345820916704)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320125_1	(1.0, 4.807302935289422)	(2.0, 2.309356596591501)	(3.0, 1.3085582719163265)	(4.0, 0.8469183510545983)	(5.0, 0.630560794159503)	(6.0, 0.45816894401314345)	(7.0, 0.3806504610614247)	(8.0, 0.30544596267542895)	(9.0, 0.3852784301928706)	('>10', 5.020189515335933)	('>50', 4.057571935995187)	('>100', 22.827457740856868)	('>500', 25.567215466672838)	('>1k', 31.09532459418496)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320125_2	(1.0, 4.949612986081383)	(2.0, 1.9807707882588423)	(3.0, 1.1523643137300275)	(4.0, 0.6617995857967627)	(5.0, 0.5727111800164293)	(6.0, 0.43040112922446805)	(7.0, 0.25106732538093973)	(8.0, 0.38874940704145505)	(9.0, 0.33321377746410435)	('>10', 7.0923626939408315)	('>50', 5.479515451631937)	('>100', 28.34862491467182)	('>500', 20.956601219469867)	('>1k', 27.402205227291134)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320126_1	(1.0, 5.118772746839902)	(2.0, 2.4002400240024)	(3.0, 1.4636246233318984)	(4.0, 0.8192123560182105)	(5.0, 0.6065823973701718)	(6.0, 0.532227135757054)	(7.0, 0.42004200420042004)	(8.0, 0.3652539166960174)	(9.0, 0.23480608930458263)	('>10', 4.229118564030316)	('>50', 3.503828643733939)	('>100', 27.191849619744584)	('>500', 25.02511120677285)	('>1k', 28.089330672197654)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320126_2	(1.0, 5.327489270666197)	(2.0, 2.134126456123873)	(3.0, 1.1740304465229132)	(4.0, 0.8922631393574141)	(5.0, 0.5478808750440262)	(6.0, 0.532227135757054)	(7.0, 0.39264796044821876)	(8.0, 0.4278688738439061)	(9.0, 0.32872852502641564)	('>10', 7.739469599133826)	('>50', 7.067663288067936)	('>100', 23.67758514981933)	('>500', 39.72005896241798)	('>1k', 10.037960317770908)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320128_1	(1.0, 4.92735148353864)	(2.0, 2.344004058431)	(3.0, 1.3736228000572341)	(4.0, 0.910545416704606)	(5.0, 0.689412958362059)	(6.0, 0.60095997502504)	(7.0, 0.47348361668639516)	(8.0, 0.41624933335067704)	(9.0, 0.25755427501073147)	('>10', 5.140679266880862)	('>50', 4.278262679344928)	('>100', 21.250829246718787)	('>500', 18.804063634116837)	('>1k', 38.53298125577221)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320128_2	(1.0, 5.338397700222433)	(2.0, 2.3518087334313256)	(3.0, 1.3111854000546328)	(4.0, 0.8116862000338202)	(5.0, 0.6699012708612458)	(6.0, 0.5151085500214629)	(7.0, 0.41885089168411876)	(8.0, 0.33299946668054164)	(9.0, 0.339503362514146)	('>10', 10.134370487922267)	('>50', 5.1966127710498595)	('>100', 37.589916359899576)	('>500', 23.654669146818943)	('>1k', 11.334989658805625)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320139_1	(1.0, 4.957891497160125)	(2.0, 2.3390503903080497)	(3.0, 1.2212864777146695)	(4.0, 1.0016507652276097)	(5.0, 0.6994767913600627)	(6.0, 0.47844212529028285)	(7.0, 0.4308777034777986)	(8.0, 0.42528188914691806)	(9.0, 0.5413950365126885)	('>10', 7.109482107383677)	('>50', 4.878151142945077)	('>100', 22.241963011667274)	('>500', 17.71355026440223)	('>1k', 35.96150079740354)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320139_2	(1.0, 5.362189082566241)	(2.0, 2.1040261884110687)	(3.0, 1.2128927562183487)	(4.0, 0.6770935340365406)	(5.0, 0.47564421812484264)	(6.0, 0.49522956828292436)	(7.0, 0.3721216530035534)	(8.0, 0.5148149184410061)	(9.0, 0.390308049578915)	('>10', 11.696650905122969)	('>50', 8.728071402590862)	('>100', 33.53151842421869)	('>500', 16.051593408130717)	('>1k', 18.387845891273326)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320140_1	(1.0, 4.859750438279881)	(2.0, 2.075384139424564)	(3.0, 1.3187068165411981)	(4.0, 0.8765597607507477)	(5.0, 0.7669897906569042)	(6.0, 0.6264824172424461)	(7.0, 0.5233577395070641)	(8.0, 0.2578116943384552)	(9.0, 0.32484273486645354)	('>10', 6.385995668763535)	('>50', 3.6080746622666804)	('>100', 19.169588532535837)	('>500', 11.314066206043107)	('>1k', 40.747138290192844)	('>5k', 7.145251108590285)	('>10k+', 0.0)
SRR35320140_2	(1.0, 5.340569248221099)	(2.0, 2.0805403733113335)	(3.0, 1.2142930803341239)	(4.0, 0.7528101474682891)	(5.0, 0.7605444982984428)	(6.0, 0.4021862431679901)	(7.0, 0.4962875116015263)	(8.0, 0.3609363720738373)	(9.0, 0.336444261111684)	('>10', 7.387594101268434)	('>50', 6.862947303289678)	('>100', 30.2735382076931)	('>500', 38.02593585645045)	('>1k', 5.705372795710013)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320141_1	(1.0, 6.057057696401959)	(2.0, 2.631466893761976)	(3.0, 1.6031509474132424)	(4.0, 0.9623163721524377)	(5.0, 0.7877368533106239)	(6.0, 0.4726421119863743)	(7.0, 0.5514157973174367)	(8.0, 0.39173940813285074)	(9.0, 0.30657866723440497)	('>10', 7.242921013412816)	('>50', 5.512028954651906)	('>100', 24.781775601447734)	('>500', 16.883116883116884)	('>1k', 31.816052799659357)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320141_2	(1.0, 5.639770065999574)	(2.0, 2.299340004258037)	(3.0, 1.2518628912071534)	(4.0, 0.9282520757930594)	(5.0, 0.6387055567383436)	(6.0, 0.395997445177773)	(7.0, 0.38748137108792846)	(8.0, 0.5450287417500532)	(9.0, 0.6514796678731105)	('>10', 10.977219501809666)	('>50', 7.86246540344901)	('>100', 42.518628912071534)	('>500', 23.744943581009153)	('>1k', 2.158824781775601)	('>5k', 0.0)	('>10k+', 0.0)
