.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR35320111_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320112_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320112_2	1	0.25	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR35320113_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320113_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320114_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320114_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320115_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320115_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320116_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320116_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320117_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320117_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320118_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320118_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320119_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320119_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320120_1	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320120_2	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320121_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320121_2	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR35320122_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320122_2	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR35320123_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320123_2	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR35320124_1	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320124_2	1	0.25	0.25	1	0.25	0.25	0.25	0.5	0.25	0.5	1
SRR35320125_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320125_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320126_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR35320126_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320128_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320128_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320139_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320139_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320140_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320140_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR35320141_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR35320141_2	1	0.25	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
